Name,PA,BB%,K%,AVG,OBP,SLG,OPS,BABIP,wRC+,WAR/PA
A.J. Ellis,430.000,14.000,14.200,0.269,0.382,0.409,0.791,0.301,123.000,1.000
A.J. Pollock,608.000,7.200,14.100,0.307,0.357,0.444,0.801,0.346,115.000,1.000
A.J. Simcox,474.000,5.700,15.200,0.250,0.293,0.378,0.671,0.281,81.000,0.000
Aaron Altherr,492.000,5.300,22.400,0.236,0.287,0.399,0.686,0.279,87.000,1.000
Aaron Bates,530.000,9.400,21.500,0.276,0.366,0.420,0.786,0.341,115.000,0.000
Aaron Cunningham,401.000,9.500,22.900,0.317,0.386,0.507,0.894,0.394,135.000,0.000
Aaron Hicks,563.000,14.000,20.600,0.286,0.384,0.460,0.844,0.348,134.000,1.000
Aaron Luna,409.000,15.400,17.800,0.270,0.426,0.470,0.897,0.306,154.000,0.000
Aaron Mathews,507.000,5.300,15.600,0.293,0.334,0.433,0.767,0.335,107.000,0.000
Aaron Peel,548.000,5.100,19.200,0.285,0.344,0.473,0.816,0.332,113.000,0.000
Aaron Westlake,458.000,7.000,26.200,0.236,0.293,0.396,0.689,0.292,88.000,0.000
Adalberto Santos,482.000,12.200,14.500,0.281,0.375,0.386,0.762,0.323,117.000,0.000
Adam Abraham,434.000,10.100,18.400,0.259,0.343,0.441,0.783,0.294,117.000,0.000
Adam Boeve,389.000,12.900,25.700,0.270,0.372,0.479,0.851,0.335,132.000,0.000
Adam Brett Walker,560.000,9.100,34.800,0.239,0.309,0.498,0.807,0.317,125.000,0.000
Adam Buschini,403.000,10.400,18.400,0.215,0.297,0.332,0.629,0.246,82.000,0.000
Adam Calderone,404.000,6.400,18.100,0.242,0.301,0.427,0.728,0.270,100.000,0.000
Adam Duvall,430.000,8.100,16.700,0.252,0.320,0.465,0.785,0.268,114.000,1.000
Adam Frazier,423.000,8.000,9.900,0.324,0.384,0.416,0.801,0.360,135.000,1.000
Adam Godwin,479.000,10.600,14.000,0.264,0.347,0.333,0.680,0.309,88.000,0.000
Adam Greenberg,492.053,14.113,21.453,0.245,0.367,0.368,0.735,0.321,107.868,0.000
Adam Heether,491.000,10.400,18.100,0.299,0.371,0.447,0.818,0.355,126.000,0.000
Adam Loewen,537.000,12.300,26.400,0.246,0.351,0.412,0.763,0.327,112.000,0.000
Adam Melker,398.000,9.000,18.800,0.278,0.346,0.409,0.755,0.326,111.000,0.000
Adam Moore,490.000,8.200,15.700,0.319,0.396,0.506,0.902,0.362,144.000,0.000
Adam Morrissey,599.000,15.400,21.900,0.263,0.396,0.383,0.778,0.343,119.000,0.000
Adam Witter,471.000,13.600,21.700,0.238,0.345,0.443,0.787,0.267,111.000,0.000
Addison Maruszak,434.443,9.897,16.953,0.261,0.338,0.421,0.758,0.293,109.875,0.000
Adeiny Hechavarria,502.000,5.000,15.500,0.235,0.275,0.347,0.622,0.267,67.000,0.000
Aderlin Rodriguez,478.225,6.802,19.428,0.260,0.314,0.444,0.758,0.289,108.445,0.000
Adrian Marin,457.370,5.986,18.809,0.249,0.296,0.328,0.624,0.305,71.713,0.000
Agustin Murillo,420.000,8.600,13.800,0.235,0.322,0.326,0.648,0.258,92.000,0.000
Albert Almora,452.000,7.100,10.400,0.272,0.327,0.400,0.727,0.291,105.000,0.000
Albert Cartwright,517.305,5.735,21.523,0.249,0.305,0.334,0.638,0.313,77.944,0.000
Alberth Martinez,485.807,7.181,17.387,0.260,0.321,0.393,0.713,0.298,98.946,0.000
Alberto Gonzalez,494.000,7.500,8.500,0.290,0.356,0.392,0.747,0.309,116.000,0.000
Alcides Escobar,597.000,5.200,13.700,0.328,0.363,0.434,0.797,0.369,114.000,1.000
Alden Carrithers,423.000,12.100,7.800,0.276,0.365,0.351,0.715,0.299,97.000,0.000
Aledmys Diaz,409.000,7.100,15.200,0.264,0.324,0.421,0.745,0.294,108.000,1.000
Alen Hanson,527.000,5.900,16.700,0.280,0.326,0.442,0.768,0.321,111.000,0.000
Alex Avila,387.000,13.400,19.900,0.264,0.365,0.450,0.814,0.310,127.000,1.000
Alex Blandino,465.000,11.800,24.500,0.232,0.333,0.337,0.670,0.302,100.000,0.000
Alex Castellanos,534.000,7.300,22.100,0.320,0.386,0.573,0.958,0.381,152.000,0.000
Alex Dickerson,491.000,5.500,18.100,0.288,0.337,0.494,0.832,0.325,126.000,1.000
Alex Gordon,577.000,12.500,19.600,0.325,0.427,0.588,1.016,0.373,167.000,1.000
Alex Hassan,545.000,13.900,14.500,0.291,0.404,0.456,0.860,0.326,141.000,0.000
Alex Liddi,540.705,6.942,25.319,0.284,0.339,0.475,0.814,0.365,122.142,0.000
Alex Romero,404.000,8.200,9.400,0.303,0.377,0.439,0.816,0.321,122.000,0.000
Alex Valdez,574.000,6.800,21.400,0.262,0.318,0.422,0.740,0.318,101.000,0.000
Alex Verdugo,529.000,8.300,12.700,0.273,0.336,0.407,0.743,0.292,113.000,0.000
Alex Yarbrough,529.778,6.273,22.993,0.264,0.309,0.368,0.676,0.337,92.438,0.000
Alfredo Escalera,490.000,3.900,23.100,0.261,0.305,0.353,0.658,0.331,84.000,0.000
Alfredo Marte,446.000,7.600,16.100,0.294,0.363,0.523,0.886,0.314,147.000,0.000
Alfredo Silverio,572.000,5.200,15.900,0.306,0.340,0.542,0.883,0.340,131.000,0.000
Ali Castillo,460.000,7.800,9.800,0.254,0.318,0.327,0.645,0.280,81.000,0.000
Allan Dykstra,482.102,17.746,26.383,0.271,0.413,0.489,0.902,0.347,152.174,0.000
Allen Craig,568.000,8.500,15.300,0.304,0.373,0.494,0.867,0.329,129.000,1.000
Alonzo Harris,395.000,8.600,22.500,0.218,0.285,0.305,0.590,0.275,64.000,0.000
Ambiorix Concepcion,478.134,5.519,20.044,0.246,0.293,0.381,0.673,0.291,80.358,0.000
Anderson Feliz,386.000,9.100,22.800,0.256,0.325,0.378,0.702,0.333,95.000,0.000
Anderson Machado,467.000,11.300,22.300,0.237,0.329,0.351,0.680,0.301,96.000,0.000
Andrew Aplin,434.000,15.000,12.900,0.267,0.379,0.354,0.732,0.298,115.000,0.000
Andrew Brown,407.000,10.100,24.100,0.291,0.371,0.526,0.897,0.344,146.000,0.000
Andrew Daniel,501.000,7.800,20.400,0.266,0.331,0.355,0.686,0.330,100.000,0.000
Andrew Lambo,541.000,7.200,17.600,0.256,0.311,0.407,0.717,0.293,98.000,0.000
Andrew McCutchen,498.000,8.800,16.700,0.258,0.327,0.383,0.710,0.295,94.000,1.000
Andrew Pinckney,478.151,7.354,20.493,0.268,0.325,0.427,0.752,0.319,101.735,0.000
Andrew Romine,454.000,11.000,14.500,0.282,0.370,0.366,0.736,0.332,109.000,0.000
Andrew Velazquez,414.000,7.200,27.100,0.235,0.297,0.374,0.672,0.312,94.000,0.000
Andy Burns,553.000,7.400,17.900,0.255,0.315,0.430,0.745,0.285,104.000,0.000
Andy Dirks,421.401,8.439,14.278,0.267,0.333,0.388,0.721,0.294,98.340,1.000
Andy Jenkins,401.000,8.200,19.000,0.239,0.306,0.381,0.686,0.274,88.000,0.000
Andy Parrino,492.000,13.800,23.400,0.246,0.363,0.415,0.777,0.315,115.000,0.000
Andy Simunic,435.000,6.700,14.900,0.297,0.349,0.345,0.694,0.347,98.000,0.000
Andy Wilkins,502.000,12.500,18.700,0.239,0.335,0.425,0.760,0.266,113.000,0.000
Aneury Tavarez,425.000,6.800,15.100,0.335,0.379,0.506,0.886,0.381,144.000,0.000
Angel Castillo,381.000,6.000,27.300,0.216,0.276,0.308,0.585,0.288,56.000,0.000
Angel Franco,383.000,7.000,13.100,0.234,0.290,0.290,0.580,0.266,66.000,0.000
Angel Ortega,503.000,4.600,17.500,0.248,0.287,0.342,0.629,0.288,80.000,0.000
Angel Salome,412.000,8.000,13.800,0.360,0.415,0.559,0.973,0.394,160.000,0.000
Angel Sanchez,612.000,7.200,10.300,0.282,0.339,0.352,0.692,0.308,85.000,0.000
Angel Villalona,400.000,5.800,23.500,0.227,0.290,0.381,0.671,0.278,84.000,0.000
Angelo Mora,401.000,7.200,19.700,0.251,0.308,0.362,0.671,0.309,86.000,0.000
Angelys Nina,466.946,6.152,13.323,0.275,0.323,0.397,0.720,0.304,101.973,0.000
Anthony Aliotti,477.917,14.236,22.560,0.317,0.414,0.476,0.890,0.404,151.190,0.000
Anthony Garcia,398.000,10.100,18.100,0.294,0.370,0.487,0.857,0.328,138.000,0.000
Anthony Gose,596.000,10.400,25.800,0.253,0.349,0.415,0.763,0.332,114.000,1.000
Anthony Hewitt,417.000,6.200,32.100,0.244,0.296,0.430,0.726,0.329,98.000,0.000
Anthony Jackson,503.286,10.382,13.029,0.236,0.327,0.310,0.636,0.270,78.846,0.000
Anthony Phillips,405.000,9.100,19.500,0.259,0.332,0.317,0.649,0.326,90.000,0.000
Anthony Recker,482.000,8.900,29.000,0.274,0.346,0.437,0.783,0.381,107.000,1.000
Anthony Rizzo,467.000,9.600,21.400,0.263,0.334,0.481,0.815,0.297,118.000,1.000
Anthony Webster,444.000,4.700,12.400,0.277,0.320,0.411,0.731,0.302,94.000,0.000
Antoan Richardson,445.000,12.400,18.400,0.241,0.356,0.329,0.685,0.295,94.000,0.000
Antonio Nunez,419.000,10.700,23.900,0.223,0.316,0.270,0.586,0.300,70.000,0.000
Archie Gilbert,518.156,10.814,11.718,0.265,0.359,0.378,0.736,0.291,107.069,0.000
Argenis Reyes,503.000,4.600,11.100,0.278,0.313,0.360,0.673,0.311,83.000,0.000
Arismendy Alcantara,571.000,10.900,21.900,0.271,0.352,0.451,0.804,0.332,132.000,0.000
Aristides Aquino,504.000,7.700,28.800,0.216,0.282,0.397,0.678,0.274,93.000,0.000
Asdrubal Cabrera,425.000,10.600,9.900,0.310,0.383,0.454,0.837,0.326,129.000,1.000
Ashley Graeter,380.000,6.100,18.400,0.247,0.301,0.388,0.688,0.283,85.000,0.000
Audy Ciriaco,409.000,2.400,15.600,0.277,0.301,0.415,0.717,0.318,94.000,0.000
Austin Dean,536.000,9.000,20.500,0.238,0.307,0.375,0.682,0.283,97.000,0.000
Austin Hedges,457.000,5.000,19.500,0.225,0.268,0.321,0.589,0.269,67.000,0.000
Austin Jackson,584.000,9.600,19.300,0.285,0.354,0.419,0.773,0.346,109.000,1.000
Austin Krum,533.000,12.000,16.100,0.229,0.328,0.303,0.631,0.272,79.000,0.000
Austin Nola,595.000,12.900,15.800,0.259,0.368,0.327,0.694,0.313,103.000,0.000
Austin Romine,497.000,7.400,18.900,0.268,0.324,0.402,0.726,0.316,98.000,0.000
Austin Wates,409.000,7.600,17.400,0.304,0.375,0.429,0.804,0.360,127.000,0.000
Austin Wynns,434.000,12.000,14.700,0.281,0.377,0.419,0.796,0.314,124.000,0.000
B.J. Boyd,578.000,5.900,12.800,0.323,0.366,0.428,0.793,0.364,122.000,0.000
Barrett Barnes,458.000,9.000,22.900,0.306,0.377,0.477,0.853,0.392,138.000,0.000
Beau Mills,524.135,7.012,15.929,0.255,0.310,0.399,0.708,0.283,91.876,0.000
Beau Taylor,401.000,13.500,21.400,0.280,0.383,0.398,0.781,0.359,129.000,0.000
Ben Copeland,423.000,9.200,15.100,0.261,0.334,0.417,0.751,0.302,101.000,0.000
Ben Gamel,586.000,6.100,15.000,0.261,0.308,0.340,0.648,0.306,80.000,1.000
Ben Harrison,392.000,10.700,25.300,0.300,0.385,0.518,0.903,0.374,138.000,0.000
Ben Johnson,449.000,3.800,17.800,0.262,0.313,0.460,0.772,0.276,97.000,0.000
Ben Lasater,392.000,7.900,22.700,0.296,0.363,0.483,0.846,0.363,127.000,0.000
Ben Paulsen,544.087,7.145,22.767,0.247,0.304,0.407,0.711,0.296,89.780,0.000
Ben Revere,406.000,7.900,10.100,0.305,0.371,0.363,0.734,0.339,106.000,1.000
Ben Zobrist,381.000,14.400,12.100,0.327,0.434,0.473,0.907,0.375,145.000,1.000
Bengie Gonzalez,569.000,10.000,14.600,0.271,0.342,0.386,0.729,0.311,112.000,0.000
Bijan Rademacher,433.000,15.500,13.900,0.261,0.379,0.370,0.748,0.302,119.000,0.000
Bill Rhinehart,455.544,9.576,21.280,0.262,0.335,0.478,0.813,0.293,119.336,0.000
Billy Burns,421.000,10.500,15.400,0.250,0.333,0.330,0.662,0.298,94.000,1.000
Billy Butler,535.000,7.700,12.500,0.331,0.388,0.499,0.887,0.355,132.000,0.000
Billy McKinney,491.000,12.000,19.800,0.246,0.342,0.338,0.680,0.309,99.000,0.000
Blake Allemand,370.000,7.000,17.300,0.256,0.311,0.384,0.695,0.295,100.000,0.000
Blake Davis,497.000,5.200,16.100,0.284,0.324,0.389,0.714,0.334,92.000,0.000
Blake Lalli,474.701,10.711,10.980,0.312,0.389,0.403,0.792,0.347,121.440,0.000
Blake Smith,531.000,12.100,25.200,0.267,0.358,0.432,0.790,0.348,122.000,0.000
Blake Tekotte,498.000,13.500,21.700,0.285,0.393,0.498,0.891,0.343,140.000,0.000
Blake Trahan,526.000,9.900,15.600,0.222,0.311,0.275,0.585,0.266,72.000,0.000
Bo Way,471.000,6.600,18.500,0.261,0.320,0.320,0.640,0.323,86.000,0.000
Bobby Bradley,532.000,10.300,22.900,0.251,0.331,0.465,0.796,0.287,116.000,0.000
Bobby Felmy,429.000,6.500,14.500,0.253,0.311,0.374,0.685,0.283,89.000,0.000
Bobby Wilson,418.000,7.900,11.200,0.286,0.350,0.428,0.778,0.306,104.000,0.000
Brad Boyer,413.000,7.000,16.700,0.294,0.351,0.433,0.784,0.351,115.000,0.000
Brad Coon,414.000,8.900,19.300,0.250,0.319,0.353,0.672,0.303,85.000,0.000
Brad Corley,539.000,4.600,19.700,0.262,0.309,0.390,0.699,0.311,87.000,0.000
Brad Emaus,581.000,10.200,11.900,0.253,0.336,0.376,0.712,0.271,98.000,0.000
Brad Glenn,469.136,7.775,24.110,0.252,0.313,0.450,0.762,0.297,108.171,0.000
Brad Harman,482.774,8.505,26.631,0.206,0.276,0.339,0.615,0.262,65.143,0.000
Brad Snyder,594.000,10.400,26.600,0.270,0.351,0.446,0.796,0.351,127.000,0.000
Bradley Zimmer,407.000,13.800,28.300,0.253,0.371,0.471,0.842,0.341,136.000,1.000
Brady Shoemaker,490.000,13.700,18.400,0.274,0.374,0.433,0.808,0.319,130.000,0.000
Brahiam Maldonado,530.000,7.200,27.500,0.222,0.285,0.453,0.737,0.252,98.000,0.000
Brandon Bednar,448.000,5.800,14.100,0.280,0.326,0.350,0.676,0.325,87.000,0.000
Brandon Boggs,429.000,16.300,24.000,0.266,0.385,0.508,0.893,0.318,137.000,0.000
Brandon Chaves,422.018,10.639,18.461,0.245,0.339,0.325,0.665,0.303,91.000,0.000
Brandon Crawford,423.000,4.700,23.600,0.258,0.294,0.365,0.659,0.334,81.000,1.000
Brandon Dixon,461.000,6.500,29.700,0.260,0.315,0.434,0.749,0.342,115.000,0.000
Brandon Douglas,535.067,6.231,12.230,0.272,0.325,0.358,0.682,0.308,90.011,0.000
Brandon Guyer,410.000,6.600,12.400,0.344,0.398,0.588,0.986,0.371,168.000,1.000
Brandon Hicks,534.000,9.900,24.500,0.237,0.319,0.373,0.692,0.306,95.000,0.000
Brandon Jones,418.000,10.500,20.100,0.293,0.368,0.507,0.875,0.338,137.000,0.000
Brandon Laird,454.000,8.400,18.500,0.291,0.355,0.523,0.878,0.315,136.000,0.000
Brandon Moss,573.000,9.800,18.800,0.285,0.357,0.439,0.796,0.339,125.000,1.000
Brandon Roberts,433.920,7.033,13.352,0.290,0.353,0.369,0.723,0.333,102.000,0.000
Brandon Short,581.000,6.200,21.500,0.262,0.318,0.411,0.729,0.317,95.000,0.000
Brandon Tripp,450.000,7.600,24.700,0.289,0.369,0.449,0.818,0.380,123.000,0.000
Brandon Waring,473.862,9.994,31.096,0.227,0.315,0.451,0.766,0.291,108.848,0.000
Brandon Wikoff,386.000,12.200,8.500,0.308,0.398,0.353,0.751,0.334,111.000,0.000
Brandon Wood,522.000,10.300,28.500,0.276,0.355,0.552,0.907,0.348,132.000,0.000
Brant Colamarino,500.153,9.476,19.242,0.267,0.345,0.444,0.789,0.311,107.848,0.000
Braxton Lee,504.518,9.601,16.328,0.266,0.340,0.328,0.669,0.325,95.980,0.000
Brendan Katin,508.000,8.100,32.100,0.258,0.329,0.471,0.800,0.342,117.000,0.000
Brennan Boesch,571.000,5.800,22.200,0.275,0.318,0.510,0.828,0.309,123.000,0.000
Brent Clevlen,451.000,10.400,30.600,0.230,0.313,0.357,0.670,0.319,91.000,0.000
Brent Johnson,525.000,10.500,10.500,0.291,0.380,0.408,0.788,0.318,122.000,0.000
Brett Eibner,504.000,10.500,29.600,0.243,0.330,0.451,0.781,0.319,120.000,0.000
Brett Harper,517.000,6.600,23.000,0.296,0.350,0.500,0.850,0.350,127.000,0.000
Brett Lawrie,609.000,7.700,19.400,0.285,0.346,0.451,0.797,0.350,117.000,1.000
Brett Nicholas,575.000,8.000,21.400,0.289,0.357,0.474,0.831,0.336,131.000,1.000
Brett Phillips,517.000,13.000,29.800,0.229,0.332,0.397,0.729,0.311,113.000,0.000
Brett Pill,581.000,6.400,12.400,0.298,0.348,0.480,0.828,0.310,125.000,1.000
Brett Roneberg,457.000,11.200,12.700,0.303,0.379,0.430,0.809,0.329,129.000,0.000
Brett Vertigan,462.000,8.700,19.500,0.246,0.314,0.316,0.629,0.308,83.000,0.000
Breyvic Valera,401.000,8.500,6.700,0.236,0.301,0.297,0.598,0.246,69.000,0.000
Brian Barton,461.000,8.900,21.500,0.314,0.416,0.440,0.856,0.401,140.000,1.000
Brian Buscher,524.000,7.400,14.300,0.259,0.321,0.366,0.687,0.292,95.000,0.000
Brian Cavazos-Galvez,422.855,3.177,13.632,0.270,0.307,0.420,0.728,0.292,100.270,0.000
Brian Dinkelman,544.000,10.100,13.400,0.296,0.383,0.440,0.824,0.334,132.000,0.000
Brian Friday,476.000,10.700,14.500,0.265,0.361,0.386,0.747,0.303,112.000,0.000
Brian Goodwin,504.351,10.380,21.291,0.240,0.324,0.376,0.700,0.297,99.032,1.000
Brian Hernandez,540.227,7.436,16.964,0.277,0.332,0.377,0.709,0.322,99.282,0.000
Brian Humphries,429.000,2.600,17.200,0.276,0.299,0.378,0.677,0.325,90.000,0.000
Brian Jeroloman,432.000,14.400,27.800,0.217,0.330,0.316,0.646,0.303,85.000,0.000
Brian McFall,404.000,9.700,25.500,0.241,0.329,0.454,0.783,0.284,105.000,0.000
Brian Snyder,453.000,16.600,22.100,0.254,0.379,0.408,0.787,0.323,117.000,0.000
Brian Stavisky,399.000,16.000,13.300,0.316,0.429,0.450,0.879,0.362,138.000,0.000
Brian Van Kirk,450.000,9.300,15.600,0.273,0.349,0.396,0.745,0.314,107.000,0.000
Brock Bond,531.000,12.600,13.000,0.333,0.429,0.409,0.838,0.391,140.000,0.000
Brock Holt,516.187,8.899,13.461,0.303,0.370,0.406,0.776,0.350,117.255,1.000
Brock Kjeldgaard,526.000,12.500,28.700,0.222,0.333,0.417,0.750,0.273,121.000,0.000
Brock Peterson,461.592,9.244,20.814,0.274,0.356,0.462,0.817,0.325,121.310,0.000
Brock Stassi,523.525,11.134,10.744,0.268,0.351,0.403,0.753,0.281,114.775,0.000
Brodie Greene,457.483,8.836,13.330,0.236,0.309,0.315,0.624,0.268,76.750,0.000
Bronson Sardinha,387.000,10.100,17.100,0.271,0.345,0.397,0.743,0.316,100.000,0.000
Bruce Caldwell,403.000,10.200,28.800,0.251,0.325,0.400,0.725,0.333,109.000,0.000
Bruce Maxwell,381.000,10.200,14.200,0.243,0.321,0.308,0.629,0.282,79.000,1.000
Bryan Anderson,431.000,7.400,17.900,0.298,0.350,0.388,0.738,0.353,99.000,0.000
Bryan Bass,385.000,8.800,30.100,0.227,0.302,0.378,0.679,0.308,84.000,0.000
Bryan Byrne,486.051,15.083,16.873,0.291,0.406,0.405,0.812,0.348,128.536,0.000
Bryan Petersen,494.000,10.100,13.400,0.297,0.368,0.413,0.781,0.330,119.000,0.000
Bryan Pritz,402.000,9.700,13.200,0.292,0.359,0.430,0.789,0.322,114.000,0.000
Bryce Brentz,504.000,7.900,25.800,0.296,0.355,0.478,0.833,0.377,129.000,0.000
Bryson Myles,433.000,10.600,19.600,0.268,0.367,0.433,0.800,0.322,134.000,0.000
Buck Britton,421.000,8.800,14.300,0.294,0.357,0.432,0.790,0.329,119.000,0.000
C.J Hinojosa,417.000,7.400,10.100,0.265,0.321,0.340,0.662,0.286,82.000,0.000
C.J. Cron,565.000,4.100,14.700,0.274,0.319,0.428,0.746,0.298,107.000,1.000
C.J. Retherford,526.000,5.700,13.300,0.297,0.340,0.473,0.813,0.325,125.000,0.000
Cade Gotta,390.000,11.800,16.700,0.282,0.364,0.387,0.751,0.332,121.000,0.000
Cal Towey,385.000,14.500,28.600,0.215,0.340,0.304,0.644,0.314,86.000,0.000
Cale Iorg,496.085,4.941,29.197,0.217,0.262,0.336,0.598,0.291,60.856,0.000
Caleb Gindl,534.000,10.300,14.600,0.272,0.352,0.406,0.758,0.307,110.000,1.000
Caleb Joseph,482.975,7.881,15.140,0.267,0.329,0.416,0.745,0.290,104.803,1.000
Caleb Ramsey,523.000,8.000,14.300,0.245,0.308,0.294,0.602,0.288,70.000,0.000
Caleb Stewart,468.361,9.104,18.283,0.265,0.339,0.430,0.768,0.298,107.583,0.000
Callix Crabbe,571.000,12.400,10.900,0.267,0.368,0.345,0.713,0.295,112.000,0.000
Cameron Maybin,459.000,13.100,27.000,0.277,0.375,0.456,0.831,0.371,125.000,1.000
Cameron Perkins,418.000,6.000,12.700,0.252,0.307,0.411,0.718,0.264,105.000,0.000
Cameron Seitzer,518.056,11.748,17.650,0.271,0.363,0.405,0.768,0.316,121.486,0.000
Carl Loadenthal,552.000,11.200,14.500,0.300,0.383,0.357,0.740,0.358,108.000,0.000
Carlo Testa,415.000,9.600,26.300,0.245,0.320,0.434,0.754,0.302,108.000,0.000
Carlos Alonso,546.000,11.000,12.800,0.272,0.367,0.396,0.763,0.302,117.000,0.000
Carlos Asuaje,570.000,9.800,15.400,0.251,0.334,0.374,0.708,0.289,107.000,1.000
Carlos Franco,482.000,11.000,27.800,0.255,0.339,0.330,0.669,0.361,98.000,0.000
Carlos Gomez,486.000,5.600,20.000,0.281,0.350,0.423,0.773,0.347,121.000,1.000
Carlos Gonzalez,499.000,6.400,20.600,0.286,0.330,0.476,0.806,0.333,117.000,1.000
Carlos Lopez,502.000,6.800,13.100,0.259,0.308,0.363,0.671,0.289,89.000,0.000
Carlos Moncrief,552.000,10.000,17.800,0.284,0.354,0.470,0.824,0.321,126.000,0.000
Carlos Peguero,553.000,10.100,32.200,0.254,0.340,0.463,0.803,0.351,119.000,1.000
Carlos Penalver,429.597,5.489,16.304,0.232,0.279,0.296,0.576,0.276,65.552,0.000
Carlos R Rojas,459.188,8.508,14.376,0.228,0.303,0.265,0.567,0.269,59.833,0.000
Carlos Rivero,513.545,7.618,17.013,0.251,0.308,0.372,0.680,0.287,86.685,0.000
Carlos Santana,535.000,16.800,15.500,0.290,0.413,0.530,0.943,0.304,160.000,1.000
Carlos Sosa,447.186,10.428,21.512,0.262,0.338,0.404,0.743,0.320,102.167,0.000
Carlos Tocci,474.000,6.100,13.900,0.307,0.362,0.398,0.760,0.356,112.000,0.000
Carlos Triunfel,467.769,4.088,13.405,0.268,0.311,0.360,0.671,0.302,81.883,0.000
Casey Benjamin,558.000,12.900,12.900,0.243,0.346,0.382,0.728,0.267,98.000,0.000
Casey Haerther,503.000,2.400,12.700,0.271,0.288,0.380,0.668,0.293,82.000,0.000
Casey McElroy,411.000,11.400,12.200,0.248,0.355,0.366,0.721,0.265,112.000,0.000
Casey McGehee,429.000,9.300,17.000,0.273,0.338,0.422,0.760,0.313,105.000,0.000
Cedric Hunter,528.968,7.712,9.116,0.276,0.335,0.405,0.740,0.290,103.014,0.000
Cesar Hernandez,450.000,6.000,14.900,0.304,0.345,0.436,0.781,0.358,115.000,1.000
Cesar Nicolas,383.000,12.300,20.400,0.245,0.367,0.390,0.757,0.293,114.000,0.000
Chad Huffman,517.000,13.000,16.100,0.284,0.383,0.419,0.802,0.328,117.000,0.000
Chad Oberacker,480.080,8.666,18.303,0.264,0.331,0.405,0.737,0.315,105.195,0.000
Chad Pinder,522.000,5.400,19.700,0.317,0.361,0.486,0.847,0.374,135.000,0.000
Chad Spann,399.000,7.300,21.300,0.294,0.361,0.472,0.833,0.361,137.000,0.000
Chad Tracy,594.000,7.700,17.300,0.279,0.333,0.488,0.821,0.296,118.000,0.000
Chance Sisco,479.000,12.300,17.300,0.320,0.406,0.422,0.828,0.387,135.000,0.000
Charcer Burks,535.000,12.900,20.000,0.270,0.370,0.395,0.765,0.329,125.000,0.000
Charlie Blackmon,381.000,8.400,11.300,0.297,0.360,0.484,0.843,0.309,130.000,1.000
Charlie Culberson,587.000,3.700,22.000,0.259,0.293,0.382,0.675,0.320,83.000,0.000
Charlie Tilson,594.000,7.700,12.100,0.295,0.351,0.388,0.739,0.333,107.000,0.000
Chase Headley,522.000,14.200,21.800,0.330,0.437,0.580,1.016,0.406,171.000,1.000
Chase Lambin,494.000,9.100,22.500,0.283,0.354,0.486,0.840,0.345,128.000,0.000
Chase McDonald,434.000,8.300,27.600,0.227,0.290,0.388,0.678,0.277,94.000,0.000
Chase d'Arnaud,607.000,9.200,16.800,0.247,0.331,0.377,0.708,0.293,96.000,0.000
Che-Hsuan Lin,543.000,13.300,11.600,0.275,0.386,0.343,0.728,0.315,110.000,0.000
Cheslor Cuthbert,395.000,9.100,17.000,0.276,0.342,0.420,0.761,0.313,118.000,0.000
Chesny Young,553.000,10.300,11.600,0.303,0.376,0.387,0.763,0.340,126.000,0.000
Chih-Hsien Chiang,494.969,5.716,16.381,0.275,0.324,0.458,0.781,0.308,112.790,0.000
Chin-lung Hu,556.000,8.800,11.300,0.254,0.326,0.334,0.660,0.282,93.000,0.000
Chip Cannon,500.549,10.599,31.497,0.245,0.335,0.457,0.791,0.328,117.845,0.000
Chris Carter,593.000,13.800,20.100,0.337,0.435,0.576,1.011,0.395,172.000,0.000
Chris Carter,593.000,13.800,20.100,0.337,0.435,0.576,1.011,0.395,172.000,0.000
Chris Coghlan,565.000,11.900,11.500,0.298,0.396,0.429,0.825,0.333,127.000,1.000
Chris Curley,546.000,5.100,13.400,0.286,0.328,0.393,0.721,0.323,102.000,0.000
Chris Dickerson,465.000,14.000,27.700,0.242,0.355,0.424,0.779,0.327,126.000,1.000
Chris Durbin,392.000,9.900,16.600,0.246,0.333,0.370,0.703,0.291,101.000,0.000
Chris Errecart,411.000,8.000,26.500,0.247,0.324,0.439,0.763,0.308,101.000,0.000
Chris Frey,531.000,6.800,11.500,0.295,0.354,0.390,0.745,0.335,103.000,0.000
Chris Getz,573.000,9.100,8.200,0.256,0.326,0.321,0.647,0.278,89.000,0.000
Chris Gutierrez,480.000,15.800,18.100,0.227,0.356,0.296,0.652,0.288,85.000,0.000
Chris Herrmann,494.314,12.635,16.237,0.268,0.363,0.392,0.754,0.311,111.061,0.000
Chris Lubanski,613.000,11.700,18.300,0.282,0.369,0.475,0.844,0.331,122.000,0.000
Chris Malec,486.002,11.355,12.349,0.285,0.379,0.405,0.784,0.319,119.019,0.000
Chris Marrero,578.000,7.400,17.600,0.294,0.350,0.450,0.800,0.333,118.000,0.000
Chris McConnell,430.000,11.400,17.700,0.231,0.333,0.337,0.670,0.282,90.000,0.000
Chris McGuiness,530.000,13.000,20.200,0.268,0.366,0.474,0.840,0.302,134.000,0.000
Chris Nowak,483.735,11.683,17.359,0.281,0.372,0.439,0.811,0.322,122.460,0.000
Chris O'Brien,407.000,10.100,16.200,0.266,0.341,0.438,0.779,0.302,115.000,0.000
